claim_id,location,claim_type,value_paper
table_4|ev_bounds_low_unit_6_1_unit_7_1,Table 4,pipeline,-20
table_4|ev_bounds_high_unit_6_1_unit_7_1,Table 4,pipeline,10
table_4|probability_unit_6_1_unit_7_1,Table 4,pipeline,0.06
table_4|probability_weighted_point_estimate_lower_bound,Table 4,pipeline,-5
table_4|probability_weighted_point_estimate_upper_bound,Table 4,pipeline,25
table_4|2_5th_quantile_of_the_lower_bound,Table 4,pipeline,-20
table_4|97_5th_quantile_of_the_lower_bound,Table 4,pipeline,0
table_4|2_5th_quantile_of_the_upper_bound,Table 4,pipeline,10
table_4|97_5th_quantile_of_the_upper_bound,Table 4,pipeline,30
table_4|probability_that_unit_6_has_y0_1,Table 4,pipeline,0.3
table_4|probability_that_unit_7_has_y0_1,Table 4,pipeline,0.4
table_5|democratization_negative_effect,Table 5,pipeline,2% (1)
table_5|democratization_no_effect,Table 5,pipeline,40% (25)
table_5|democratization_positive_effect,Table 5,pipeline,8% (5)
table_5|democratization_unimputed,Table 5,pipeline,51% (32)
figure_2|low_bound_before_any_data,Figure 2,pipeline,-100
figure_2|high_bound_before_any_data,Figure 2,pipeline,100
figure_2|low_bound_initial_values,Figure 2,pipeline,-25
figure_2|high_bound_initial_values,Figure 2,pipeline,75
figure_2|low_bound_disbanded_and_discredited_cases,Figure 2,pipeline,-25
figure_2|high_bound_disbanded_and_discredited_cases,Figure 2,pipeline,72
figure_2|low_bound_treated_cases,Figure 2,pipeline,-16
figure_2|high_bound_treated_cases,Figure 2,pipeline,68
figure_2|low_bound_non_transitional_cases,Figure 2,pipeline,-12
figure_2|high_bound_non_transitional_cases,Figure 2,pipeline,62
figure_2|low_bound_untreated_cases,Figure 2,pipeline,-2
figure_2|high_bound_untreated_cases,Figure 2,pipeline,49
figure_2|low_bound_unimputable_cases,Figure 2,pipeline,-2
figure_2|high_bound_unimputable_cases,Figure 2,pipeline,49
figure_a1|low_bound_before_any_data,Figure A.1,pipeline,-100
figure_a1|high_bound_before_any_data,Figure A.1,pipeline,100
figure_a1|low_bound_initial_values,Figure A.1,pipeline,-33
figure_a1|high_bound_initial_values,Figure A.1,pipeline,67
figure_a1|low_bound_disbanded_and_discredited_cases,Figure A.1,pipeline,-32
figure_a1|high_bound_disbanded_and_discredited_cases,Figure A.1,pipeline,61
figure_a1|low_bound_treated_cases,Figure A.1,pipeline,-26
figure_a1|high_bound_treated_cases,Figure A.1,pipeline,56
figure_a1|low_bound_non_transitional_cases,Figure A.1,pipeline,-24
figure_a1|high_bound_non_transitional_cases,Figure A.1,pipeline,54
figure_a1|low_bound_untreated_cases,Figure A.1,pipeline,-3
figure_a1|high_bound_untreated_cases,Figure A.1,pipeline,42
figure_a1|low_bound_unimputable_cases,Figure A.1,pipeline,-3
figure_a1|high_bound_unimputable_cases,Figure A.1,pipeline,42
figure_3|low_bound_atu_before_any_data,Figure 3,pipeline,-100
figure_3|high_bound_atu_before_any_data,Figure 3,pipeline,100
figure_3|low_bound_atu_initial_values,Figure 3,pipeline,-16
figure_3|high_bound_atu_initial_values,Figure 3,pipeline,84
figure_3|low_bound_atu_disbanded_and_discredited_cases,Figure 3,pipeline,-16
figure_3|high_bound_atu_disbanded_and_discredited_cases,Figure 3,pipeline,80
figure_3|low_bound_atu_treated_cases,Figure 3,pipeline,-16
figure_3|high_bound_atu_treated_cases,Figure 3,pipeline,80
figure_3|low_bound_atu_non_transitional_cases,Figure 3,pipeline,-12
figure_3|high_bound_atu_non_transitional_cases,Figure 3,pipeline,74
figure_3|low_bound_atu_untreated_cases,Figure 3,pipeline,0
figure_3|high_bound_atu_untreated_cases,Figure 3,pipeline,58
figure_3|low_bound_atu_unimputable_cases,Figure 3,pipeline,0
figure_3|high_bound_atu_unimputable_cases,Figure 3,pipeline,58
figure_3|low_bound_att_before_any_data,Figure 3,pipeline,-100
figure_3|high_bound_att_before_any_data,Figure 3,pipeline,100
figure_3|low_bound_att_initial_values,Figure 3,pipeline,-88
figure_3|high_bound_att_initial_values,Figure 3,pipeline,12
figure_3|low_bound_att_disbanded_and_discredited_cases,Figure 3,pipeline,-88
figure_3|high_bound_att_disbanded_and_discredited_cases,Figure 3,pipeline,12
figure_3|low_bound_att_treated_cases,Figure 3,pipeline,-15
figure_3|high_bound_att_treated_cases,Figure 3,pipeline,-15
figure_3|low_bound_att_non_transitional_cases,Figure 3,pipeline,-15
figure_3|high_bound_att_non_transitional_cases,Figure 3,pipeline,-15
figure_3|low_bound_att_untreated_cases,Figure 3,pipeline,-15
figure_3|high_bound_att_untreated_cases,Figure 3,pipeline,-15
figure_3|low_bound_att_unimputable_cases,Figure 3,pipeline,-15
figure_3|high_bound_att_unimputable_cases,Figure 3,pipeline,-15
figure_a2|low_bound_atu_before_any_data,Figure A.2,pipeline,-100
figure_a2|high_bound_atu_before_any_data,Figure A.2,pipeline,100
figure_a2|low_bound_atu_initial_values,Figure A.2,pipeline,-29
figure_a2|high_bound_atu_initial_values,Figure A.2,pipeline,71
figure_a2|low_bound_atu_disbanded_and_discredited_cases,Figure A.2,pipeline,-27
figure_a2|high_bound_atu_disbanded_and_discredited_cases,Figure A.2,pipeline,64
figure_a2|low_bound_atu_treated_cases,Figure A.2,pipeline,-27
figure_a2|high_bound_atu_treated_cases,Figure A.2,pipeline,64
figure_a2|low_bound_atu_non_transitional_cases,Figure A.2,pipeline,-26
figure_a2|high_bound_atu_non_transitional_cases,Figure A.2,pipeline,62
figure_a2|low_bound_atu_untreated_cases,Figure A.2,pipeline,-2
figure_a2|high_bound_atu_untreated_cases,Figure A.2,pipeline,48
figure_a2|low_bound_atu_unimputable_cases,Figure A.2,pipeline,-2
figure_a2|high_bound_atu_unimputable_cases,Figure A.2,pipeline,48
figure_a2|low_bound_att_before_any_data,Figure A.2,pipeline,-100
figure_a2|high_bound_att_before_any_data,Figure A.2,pipeline,100
figure_a2|low_bound_att_initial_values,Figure A.2,pipeline,-67
figure_a2|high_bound_att_initial_values,Figure A.2,pipeline,33
figure_a2|low_bound_att_disbanded_and_discredited_cases,Figure A.2,pipeline,-67
figure_a2|high_bound_att_disbanded_and_discredited_cases,Figure A.2,pipeline,33
figure_a2|low_bound_att_treated_cases,Figure A.2,pipeline,-10
figure_a2|high_bound_att_treated_cases,Figure A.2,pipeline,-10
figure_a2|low_bound_att_non_transitional_cases,Figure A.2,pipeline,-10
figure_a2|high_bound_att_non_transitional_cases,Figure A.2,pipeline,-10
figure_a2|low_bound_att_untreated_cases,Figure A.2,pipeline,-10
figure_a2|high_bound_att_untreated_cases,Figure A.2,pipeline,-10
figure_a2|low_bound_att_unimputable_cases,Figure A.2,pipeline,-10
figure_a2|high_bound_att_unimputable_cases,Figure A.2,pipeline,-10
figure_4|low_bound_us_the_20_cases_with_expert_responses,Figure 4,pipeline,-10
figure_4|high_bound_us_the_20_cases_with_expert_responses,Figure 4,pipeline,40
figure_4|low_bound_expert_the_20_cases_with_expert_responses,Figure 4,pipeline,-15
figure_4|high_bound_expert_the_20_cases_with_expert_responses,Figure 4,pipeline,15
figure_4|low_bound_us_all_63_democratization_cases,Figure 4,pipeline,-2
figure_4|high_bound_us_all_63_democratization_cases,Figure 4,pipeline,49
figure_4|low_bound_expert_all_63_democratization_cases,Figure 4,pipeline,-19
figure_4|high_bound_expert_all_63_democratization_cases,Figure 4,pipeline,59
figure_4|low_bound_combined_all_63_democratization_cases,Figure 4,pipeline,-3
figure_4|high_bound_combined_all_63_democratization_cases,Figure 4,pipeline,41
abstract|bounds_width_prior_to_any_analysis,Abstract,pipeline,100
abstract|bounds_width_after_imputation,Abstract,pipeline,51
abstract|bounds_width_after_the_expert_survey,Abstract,pipeline,44
text|democratization_cases,Application to the Average Effect of Truth Commissions,pipeline,63
text|treated_democratization_cases,Application to the Average Effect of Truth Commissions,pipeline,8
text|bounds_width_before_any_data_are_collected,Application to the Average Effect of Truth Commissions,pipeline,200
text|bounds_width_once_half_the_potential_outcomes_are_revealed,Application to the Average Effect of Truth Commissions,pipeline,100
text|final_ate_lower_bound,Application to the Average Effect of Truth Commissions,pipeline,-2
text|final_ate_upper_bound,Application to the Average Effect of Truth Commissions,pipeline,49
text|final_ate_bounds_width,Application to the Average Effect of Truth Commissions,pipeline,51
text|toy_example_treated_units_with_outcome_1,A Toy Example,pipeline,3
text|toy_example_untreated_units_with_outcome_1,A Toy Example,pipeline,1
text|toy_example_bounds_width_before_any_data,A Toy Example,pipeline,200
text|toy_example_final_bounds_width,A Toy Example,pipeline,10
text|atu_final_bounds_width,Application to the Average Effect of Truth Commissions,pipeline,58
text|att_summarised_as_a_point_effect,Application to the Average Effect of Truth Commissions,pipeline,-15
text|cases_imputed_as_a_non_zero_causal_effect,Application to the Average Effect of Truth Commissions,pipeline,6
text|expert_responses_received,Expert Survey,pipeline,20
text|democratization_cases_without_an_expert_response,Expert Survey,pipeline,43
text|our_bounds_width_20_responding_cases,Application to the Average Effect of Truth Commissions,pipeline,50
text|expert_bounds_width_20_responding_cases,Expert Survey,pipeline,30
text|our_bounds_width_all_63_cases,Application to the Average Effect of Truth Commissions,pipeline,51
text|expert_bounds_width_all_63_cases,Expert Survey,pipeline,78
text|combined_bounds_width_all_63_cases,Application to the Average Effect of Truth Commissions,pipeline,44
text|expert_and_author_imputations_agreed,Expert Survey,pipeline,7
text|expert_and_author_imputations_conflicted,Expert Survey,pipeline,3
text|we_imputed_the_experts_did_not,Expert Survey,pipeline,3
text|the_experts_imputed_we_did_not,Expert Survey,pipeline,7
text|cases_the_experts_imputed,Expert Survey,pipeline,14
text|cases_we_imputed,Application to the Average Effect of Truth Commissions,pipeline,10
text|experts_who_declined_to_impute,Expert Survey,pipeline,6
text|declining_experts_assigned_to_an_untreated_case,Expert Survey,pipeline,6
text|expert_imputations_differing_from_the_observed_outcome,Expert Survey,descriptive,0
appendix_a|end_of_conflict_cases,Appendix A,pipeline,54
appendix_a|treated_end_of_conflict_cases,Appendix A,pipeline,6
appendix_a|bounds_width_once_half_the_potential_outcomes_are_revealed,Appendix A,pipeline,100
appendix_a|bounds_width_after_imputation,Appendix A,pipeline,41
appendix_a|final_ate_lower_bound,Appendix A,pipeline,-3
appendix_a|final_ate_upper_bound,Appendix A,pipeline,42
appendix_a|final_ate_bounds_width_from_the_rounded_endpoints,Appendix A,pipeline,45
appendix_a|att_summarised_as_a_point_effect,Appendix A,pipeline,-10
text|toy_example_units,A Toy Example,pipeline,10
text|toy_example_treated_units,A Toy Example,pipeline,7
text|toy_example_untreated_units,A Toy Example,pipeline,3
text|toy_example_easy_imputations,A Toy Example,pipeline,5
text|toy_example_untreated_outcomes_for_units_1_2_and_5,A Toy Example,pipeline,"1, 1, 0"
text|toy_example_treated_outcomes_for_units_8_and_9,A Toy Example,pipeline,"1, 0"
text|probabilistic_extension_possible_sets_of_potential_outcomes,A Toy Example,pipeline,4
text|unobserved_potential_outcomes,Imputing Missing Potential Outcomes,pipeline,63
text|unobserved_potential_outcomes_imputed_with_certainty,Imputing Missing Potential Outcomes,pipeline,5
text|unobserved_potential_outcomes_imputed_probabilistically,Imputing Missing Potential Outcomes,pipeline,26
text|unobserved_potential_outcomes_left_unimputed,Imputing Missing Potential Outcomes,pipeline,32
text|disbanded_and_discredited_democratization_cases,Imputing Missing Potential Outcomes,pipeline,4
text|observed_outcome_in_the_disbanded_and_discredited_cases,Imputing Missing Potential Outcomes,pipeline,0
text|south_africa_probability_the_imputed_untreated_outcome_equals_1,Imputing Missing Potential Outcomes,pipeline,0.8
text|disbanded_cases_probability_the_imputed_outcome_equals_1,Imputing Missing Potential Outcomes,pipeline,0.1
text|nigeria_probability_the_imputed_untreated_outcome_equals_1,Imputing Missing Potential Outcomes,pipeline,0.1
design|simulation_interval_level,Figure 2,definitional,95
text|experts_disagreeing_with_our_coding_of_treatment_and_outcome,Expert Survey,pipeline,5
text|expert_imputations_conflicting_with_ours_restated_in_the_discussion,Discussion,pipeline,3
text|end_of_conflict_cases_stated_in_the_main_text_footnote,Application to the Average Effect of Truth Commissions,pipeline,54
text|unimputed_cases_as_a_share_of_the_total,Application to the Average Effect of Truth Commissions,descriptive,
text|the_bounds_around_the_ate_include_zero,Application to the Average Effect of Truth Commissions,descriptive,
text|the_att_bounds_shrink_to_a_point,Application to the Average Effect of Truth Commissions,descriptive,
text|the_atu_bounds_are_wider_than_the_att_bounds,Application to the Average Effect of Truth Commissions,descriptive,
text|the_combined_bounds_are_narrower_than_our_original_bounds,Application to the Average Effect of Truth Commissions,descriptive,
text|no_expert_assigned_to_a_treated_case_declined_to_impute,Expert Survey,descriptive,
text|expert_bounds_are_narrower_than_ours_among_the_20_responding_cases,Expert Survey,descriptive,
text|expert_bounds_are_wider_than_ours_among_all_63_cases,Expert Survey,descriptive,
table_b1|cells_printed_in_the_treatment_indicator_column,Table B.1,pipeline,54
table_b1|cells_printed_in_the_observed_outcome_column,Table B.1,pipeline,54
table_b1|cells_printed_in_the_revealed_potential_outcome_column,Table B.1,pipeline,54
table_b1|cells_printed_in_the_imputed_untreated_outcome_column,Table B.1,pipeline,54
table_b1|cells_printed_in_the_imputed_treated_outcome_column,Table B.1,pipeline,54
table_b1|cells_printed_in_the_imputation_probability_column,Table B.1,pipeline,30
table_b1|cells_printed_in_the_unit_level_effect_column,Table B.1,pipeline,54
table_b2|cells_printed_in_the_treatment_indicator_column,Table B.2,pipeline,63
table_b2|cells_printed_in_the_observed_outcome_column,Table B.2,pipeline,63
table_b2|cells_printed_in_the_revealed_potential_outcome_column,Table B.2,pipeline,63
table_b2|cells_printed_in_the_imputed_untreated_outcome_column,Table B.2,pipeline,63
table_b2|cells_printed_in_the_imputed_treated_outcome_column,Table B.2,pipeline,63
table_b2|cells_printed_in_the_imputation_probability_column,Table B.2,pipeline,31
table_b2|cells_printed_in_the_unit_level_effect_column,Table B.2,pipeline,63
theory|biqq_prior_beneficial,Describing Counterfactuals Using Potential Outcomes,definitional,0.6
theory|biqq_clue_given_beneficial,Describing Counterfactuals Using Potential Outcomes,definitional,0.9
theory|biqq_clue_given_adverse,Describing Counterfactuals Using Potential Outcomes,definitional,0.2
theory|biqq_prior_adverse,Describing Counterfactuals Using Potential Outcomes,definitional,0.4
theory|biqq_posterior,Describing Counterfactuals Using Potential Outcomes,definitional,0.87
theory|tetlock_attributes,Describing Counterfactuals Using Potential Outcomes,structural,6
theory|causal_types,Table 2,definitional,4
theory|best_case_ate,The Procedure,definitional,100
theory|worst_case_ate,The Procedure,definitional,-100
theory|coin_flip_probability,Extensions,definitional,0.5
theory|probabilistic_k,Extensions,definitional,2
theory|quantile_low,Extensions,definitional,2.5
theory|quantile_high,Extensions,definitional,97.5
theory|freedom_house_low,Extensions,definitional,1
theory|freedom_house_high,Extensions,definitional,7
theory|freedom_house_observed,Extensions,definitional,2
theory|freedom_house_ymax,Extensions,definitional,3
theory|freedom_house_ymin,Extensions,definitional,2
design|easy_case_units,A Toy Example,structural,"1, 2, 5"
design|null_case_units,A Toy Example,structural,"6, 7"
design|hard_case_units,A Toy Example,structural,"3, 4, 10"
design|imputation_rounds,A Toy Example,structural,3
design|search_period_start,Application to the Average Effect of Truth Commissions,structural,1980
design|search_period_end,Application to the Average Effect of Truth Commissions,structural,2008
design|first_truth_commission_year,Application to the Average Effect of Truth Commissions,structural,1983
design|treatment_probability_low,Application to the Average Effect of Truth Commissions,definitional,0
design|treatment_probability_high,Application to the Average Effect of Truth Commissions,definitional,1
design|outcome_window_years,Definition of Treatment and Outcomes,definitional,10
design|bakiner_transition_years,Definition of Treatment and Outcomes,transcribed,3
design|imputation_categories,Imputing Missing Potential Outcomes,structural,4
design|bolivia_disbanded_year,Imputing Missing Potential Outcomes,structural,1982
design|philippines_disbanded_year,Imputing Missing Potential Outcomes,structural,1986
source|bolivia_disappearance_cases,Imputing Missing Potential Outcomes,transcribed,155
source|south_africa_black_share,Imputing Missing Potential Outcomes,transcribed,85
source|wiebelhaus_brahm_page,Imputing Missing Potential Outcomes,structural,48
design|eoc_transition_period_start,Appendix A,structural,1980
design|eoc_transition_period_end,Appendix A,structural,2010
source|battle_death_threshold,Appendix A,transcribed,1000
design|eoc_outcome_window_years,Appendix A,definitional,10
